,Austen,CBronte,Dickens,Eliot
0,"('little', 581)","('little', 1173)","('little', 1922)","('little', 1158)"
1,"('good', 491)","('good', 608)","('old', 1238)","('good', 879)"
2,"('great', 472)","('old', 435)","('good', 966)","('old', 736)"
3,"('sure', 382)","('young', 337)","('great', 766)","('great', 567)"
4,"('young', 366)","('great', 336)","('dear', 731)","('young', 551)"
5,"('dear', 305)","('long', 323)","('young', 686)","('new', 485)"
6,"('happy', 242)","('certain', 274)","('sure', 375)","('poor', 463)"
7,"('better', 193)","('white', 251)","('long', 372)","('sure', 369)"
8,"('able', 158)","('dark', 247)","('better', 367)","('better', 346)"
9,"('poor', 152)","('new', 235)","('poor', 366)","('long', 289)"
