,Austen,CBronte,Dickens,Eliot
0,"('soon', 550)","('nt', 634)","('nt', 2491)","('nt', 2106)"
1,"('away', 270)","('long', 346)","('away', 704)","('away', 645)"
2,"('long', 206)","('soon', 344)","('soon', 330)","('soon', 295)"
3,"('far', 174)","('away', 322)","('long', 300)","('far', 242)"
4,"('certainly', 173)","('far', 313)","('far', 273)","('better', 229)"
5,"('immediately', 167)","('better', 139)","('home', 252)","('hardly', 227)"
6,"('hardly', 157)","('hardly', 136)","('better', 176)","('long', 225)"
7,"('perfectly', 127)","('scarcely', 132)","('pretty', 158)","('home', 179)"
8,"('longer', 107)","('somewhat', 123)","('hardly', 118)","('pretty', 129)"
9,"('particularly', 87)","('home', 115)","('slowly', 114)","('instead', 128)"
