,Eliot_Middlemarch,CBronte_Shirley,Dickens_Hard,Eliot_Mill,Austen_Emma,Dickens_David,Austen_Pride,CBronte_Jane,Eliot_Adam,Austen_Sense,CBronte_Professor,CBronte_Villette,Dickens_Bleak
0,the: 0.0395,the: 0.0421,the: 0.0418,the: 0.0419,the: 0.0325,the: 0.0385,the: 0.0355,the: 0.0418,the: 0.0466,the: 0.0343,the: 0.0431,the: 0.0432,the: 0.042
1,to: 0.0317,and: 0.0305,and: 0.0321,and: 0.0298,to: 0.0323,i: 0.0382,to: 0.034,i: 0.0387,and: 0.0314,to: 0.0343,i: 0.0336,and: 0.0328,and: 0.0357
2,of: 0.0279,to: 0.0272,to: 0.0284,to: 0.0293,and: 0.0304,and: 0.034,of: 0.0296,and: 0.0353,to: 0.0298,of: 0.0298,and: 0.033,i: 0.0304,to: 0.0283
3,and: 0.0268,of: 0.0241,of: 0.0251,of: 0.0243,of: 0.0268,to: 0.0294,and: 0.029,to: 0.0275,a: 0.0224,and: 0.0291,of: 0.03,of: 0.025,i: 0.0266
4,a: 0.023,a: 0.0228,a: 0.0222,a: 0.0231,i: 0.0198,of: 0.0246,her: 0.0183,a: 0.0238,of: 0.0208,her: 0.0213,to: 0.0262,to: 0.0245,of: 0.0239
5,in: 0.0165,i: 0.0209,i: 0.0219,i: 0.0157,a: 0.0195,a: 0.0224,i: 0.0169,of: 0.0233,i: 0.0165,a: 0.0173,a: 0.0252,a: 0.0242,a: 0.0214
6,that: 0.0163,her: 0.0156,in: 0.0172,in: 0.0149,it: 0.0156,in: 0.0176,a: 0.016,you: 0.016,in: 0.0145,i: 0.0167,in: 0.0171,in: 0.016,in: 0.0176
7,he: 0.0157,in: 0.0152,you: 0.014,was: 0.0148,her: 0.0153,was: 0.0151,in: 0.0153,in: 0.0148,was: 0.0142,in: 0.0163,her: 0.014,was: 0.0148,it: 0.0153
8,i: 0.0148,you: 0.0149,it: 0.0133,that: 0.0146,was: 0.015,that: 0.0147,was: 0.0152,was: 0.0135,her: 0.0141,was: 0.0155,my: 0.0125,it: 0.0115,that: 0.0142
9,was: 0.0146,she: 0.0138,he: 0.0133,her: 0.0138,she: 0.0146,my: 0.0143,she: 0.014,it: 0.0129,he: 0.0136,it: 0.0146,was: 0.0123,he: 0.0114,he: 0.0131
10,his: 0.0119,it: 0.013,that: 0.0128,you: 0.013,not: 0.0142,it: 0.0136,that: 0.0129,my: 0.0119,it: 0.0131,she: 0.0135,it: 0.0107,her: 0.011,you: 0.0124
11,her: 0.0117,he: 0.0117,her: 0.0119,it: 0.0129,in: 0.0136,her: 0.011,not: 0.0126,me: 0.011,that: 0.0124,that: 0.0116,you: 0.0103,not: 0.0102,his: 0.0115
12,had: 0.0117,was: 0.0115,was: 0.0116,he: 0.0117,be: 0.0123,me: 0.0102,it: 0.0126,he: 0.0102,as: 0.0124,not: 0.0112,she: 0.0099,that: 0.01,my: 0.0103
13,you: 0.0111,that: 0.0101,his: 0.0115,had: 0.0101,you: 0.0123,he: 0.01,you: 0.0111,her: 0.0092,for: 0.0111,be: 0.0109,had: 0.0093,she: 0.0099,is: 0.0098
14,it: 0.011,not: 0.0098,with: 0.0094,with: 0.0101,he: 0.0113,with: 0.0095,he: 0.011,not: 0.0091,she: 0.011,for: 0.0105,as: 0.0091,my: 0.0098,with: 0.0095
15,with: 0.0096,is: 0.0095,as: 0.0084,she: 0.0098,that: 0.0113,you: 0.0094,his: 0.0104,that: 0.0089,you: 0.0106,as: 0.0102,that: 0.0091,me: 0.0089,was: 0.0094
16,not: 0.0095,his: 0.0085,she: 0.0081,as: 0.0097,had: 0.0101,as: 0.0089,be: 0.0102,as: 0.0085,had: 0.0091,you: 0.0099,me: 0.0086,you: 0.0087,as: 0.0085
17,as: 0.0086,as: 0.0083,had: 0.0078,his: 0.0094,but: 0.009,had: 0.0088,as: 0.0097,had: 0.008,his: 0.0089,he: 0.0093,not: 0.0084,his: 0.0084,mr.: 0.0084
18,she: 0.0082,with: 0.0072,have: 0.0074,for: 0.0086,as: 0.009,said: 0.0084,had: 0.0097,she: 0.0079,with: 0.0084,his: 0.0085,with: 0.008,with: 0.0083,her: 0.0075
19,for: 0.008,for: 0.0068,for: 0.0074,said: 0.0079,for: 0.0084,his: 0.0083,with: 0.0086,with: 0.0075,but: 0.0079,had: 0.0083,he: 0.0069,as: 0.008,at: 0.007
